specification,treatment,distance,true_takeup_state,p_yes,p_no,p_dont_know,p_unrecognized,recognition,sensitivity,specificity,information_factor
F3 two-stage conditional,Calendar,2500,Taker,0.5130895,0.12053849999999999,0.3664655,0,1,0.5130895,0.216971,0.018810050000000002
F3 two-stage conditional,Bracelet,500,Nontaker,0.5200089999999999,0.30641799999999997,0.1719135,0,1,0.7006209999999999,0.30641799999999997,0.04257005
F3 two-stage conditional,Bracelet,500,Taker,0.7006209999999999,0.1487405,0.1498185,0,1,0.7006209999999999,0.30641799999999997,0.04257005
F3 two-stage conditional,Bracelet,1500,Nontaker,0.5236935,0.3083625,0.1662815,0,1,0.708422,0.3083625,0.0377894
F3 two-stage conditional,Bracelet,1500,Taker,0.708422,0.1500035,0.1403285,0,1,0.708422,0.3083625,0.0377894
F3 two-stage conditional,Bracelet,2500,Nontaker,0.526471,0.31062599999999996,0.16143200000000002,0,1,0.7157020000000001,0.31062599999999996,0.029932300000000002
F3 two-stage conditional,Bracelet,2500,Taker,0.7157020000000001,0.15129150000000002,0.131482,0,1,0.7157020000000001,0.31062599999999996,0.029932300000000002
U3 two-stage unconditional,Control,500,Nontaker,0.1745045,0.153909,0.1054595,0.566014,0.433986,0.35443199999999997,0.153909,0.046769599999999995
U3 two-stage unconditional,Control,500,Taker,0.35443199999999997,0.08236650000000001,0.0930841,0.46926650000000003,0.5307335,0.35443199999999997,0.153909,0.046769599999999995
U3 two-stage unconditional,Control,1500,Nontaker,0.149883,0.1317795,0.1524775,0.566014,0.433986,0.32300249999999997,0.1317795,0.041153949999999995
U3 two-stage unconditional,Control,1500,Taker,0.32300249999999997,0.0749878,0.132154,0.46926650000000003,0.5307335,0.32300249999999997,0.1317795,0.041153949999999995
U3 two-stage unconditional,Control,2500,Nontaker,0.12030099999999999,0.1063955,0.2074305,0.566014,0.433986,0.2832355,0.1063955,0.0325612
U3 two-stage unconditional,Control,2500,Taker,0.2832355,0.0656389,0.1806865,0.46926650000000003,0.5307335,0.2832355,0.1063955,0.0325612
U3 two-stage unconditional,Ink,500,Nontaker,0.2030805,0.143271,0.0878131,0.566014,0.433986,0.326905,0.143271,0.02159535
U3 two-stage unconditional,Ink,500,Taker,0.326905,0.10831450000000001,0.09575925,0.46926650000000003,0.5307335,0.326905,0.143271,0.02159535
U3 two-stage unconditional,Ink,1500,Nontaker,0.20360450000000002,0.1438355,0.08658394999999999,0.566014,0.433986,0.3322885,0.1438355,0.01891465
U3 two-stage unconditional,Ink,1500,Taker,0.3322885,0.1102595,0.0881908,0.46926650000000003,0.5307335,0.3322885,0.1438355,0.01891465
U3 two-stage unconditional,Ink,2500,Nontaker,0.204193,0.144154,0.08519925,0.566014,0.433986,0.3369735,0.144154,0.014738999999999999
U3 two-stage unconditional,Ink,2500,Taker,0.3369735,0.111704,0.08162085,0.46926650000000003,0.5307335,0.3369735,0.144154,0.014738999999999999
U3 two-stage unconditional,Calendar,500,Nontaker,0.212983,0.13254149999999998,0.08768814999999999,0.566014,0.433986,0.35476450000000004,0.13254149999999998,0.0296354
U3 two-stage unconditional,Calendar,500,Taker,0.35476450000000004,0.07889935000000001,0.0968713,0.46926650000000003,0.5307335,0.35476450000000004,0.13254149999999998,0.0296354
U3 two-stage unconditional,Calendar,1500,Nontaker,0.18696649999999998,0.116577,0.130185,0.566014,0.433986,0.32184999999999997,0.116577,0.0265132
U3 two-stage unconditional,Calendar,1500,Taker,0.32184999999999997,0.07157355,0.1366155,0.46926650000000003,0.5307335,0.32184999999999997,0.116577,0.0265132
U3 two-stage unconditional,Calendar,2500,Nontaker,0.155364,0.0965068,0.18157099999999998,0.566014,0.433986,0.281746,0.0965068,0.02131255
U3 two-stage unconditional,Calendar,2500,Taker,0.281746,0.0624513,0.186241,0.46926650000000003,0.5307335,0.281746,0.0965068,0.02131255
U3 two-stage unconditional,Bracelet,500,Nontaker,0.23305199999999998,0.12787749999999998,0.07268595,0.566014,0.433986,0.365646,0.12787749999999998,0.024945250000000002
U3 two-stage unconditional,Bracelet,500,Taker,0.365646,0.08302804999999999,0.08150850000000001,0.46926650000000003,0.5307335,0.365646,0.12787749999999998,0.024945250000000002
U3 two-stage unconditional,Bracelet,1500,Nontaker,0.233409,0.12834050000000002,0.0716927,0.566014,0.433986,0.37083700000000003,0.12834050000000002,0.02354245
U3 two-stage unconditional,Bracelet,1500,Taker,0.37083700000000003,0.08409155,0.0749753,0.46926650000000003,0.5307335,0.37083700000000003,0.12834050000000002,0.02354245
U3 two-stage unconditional,Bracelet,2500,Nontaker,0.233701,0.12853599999999998,0.07056265,0.566014,0.433986,0.3757705,0.12853599999999998,0.01986535
U3 two-stage unconditional,Bracelet,2500,Taker,0.3757705,0.0851601,0.06901260000000001,0.46926650000000003,0.5307335,0.3757705,0.12853599999999998,0.01986535
