specification,treatment,median,q025,q975,Pr(M<1),Pr(M>1),draws,finite_draw_share
Tight multinomial,Bracelet,0.461917,0.21828332499999997,0.8280469999999993,0.999375,6.25e-4,1600,1
Tight multinomial,Calendar,0.9224680000000001,0.7327073,1.0957675,0.828125,0.171875,1600,1
Tight multinomial,Control,1.0263849999999999,0.815943025,1.2757309999999997,0.41375,0.58625,1600,1
Tight multinomial,Ink,0.8574984999999999,0.67568065,1.002554,0.9725,0.0275,1600,1
