"scenario_id","scenario","scenario_label","n_pot_estimate","n_pot_low","n_pot_high","takeup_estimate","takeup_low","takeup_high","distance_estimate","distance_low","distance_high","replicates"
0,"experimental","Control",144,144,144,0.330460310207899,0.29098950981464,0.379137847013261,1.1762046829448,1.1762046829448,1.1762046829448,999
1,"control","Control",106,89.95,120,0.329940013150028,0.329213094908646,0.331477757088932,1.27028831078384,0.970804904034557,1.6303056746981,999
2,"bracelet","Bracelet",80,71,102,0.329780512858145,0.329205710855146,0.362273482326193,1.91788470644743,1.33870561823912,2.60196530237772,999
3,"static-control","Control social image returns at 0.5km",95,72.95,115.05,0.329781156149402,0.329209002450311,0.330715137831879,1.52198202908322,1.05568330371785,2.15193734766493,999
4,"static-bracelet","Bracelet social image returns at 0.5km",87,71,110,0.329823637967802,0.32921107588696,0.332491052269448,1.70726778020705,1.16680223056587,2.51045314355891,999
5,"suppress-reputation","No social image returns",144,144,144,0.0827928937606603,0.00814098264262134,0.292756937576274,0.552905025297392,0.552905025297392,0.552905025297392,999
