signal_group,distance_km,estimate,std_error,conf_low,conf_high,p_value
No Signal,0.4,0.461917735171248,0.01716452708085906,0.42885853561772774,0.4964184706169091,0.001998001998001998
No Signal,0.45,0.4542196826827025,0.016309604943364836,0.4221729381750313,0.48644507190906916,0.001998001998001998
No Signal,0.5,0.4464825167264107,0.01674772781214142,0.41408918779141146,0.47829058486175385,0.001998001998001998
No Signal,0.55,0.4387004512305872,0.01804482716529963,0.4006837719944005,0.4732425335458187,0.001998001998001998
No Signal,0.6000000000000001,0.4308677001234461,0.019707996623975235,0.39088112059600555,0.46799642225021076,0.001998001998001998
No Signal,0.65,0.4229784773332017,0.02135481820151561,0.3781855926959564,0.46267154989450693,0.001998001998001998
No Signal,0.7000000000000001,0.41502699678806815,0.02272871696231867,0.3677079428260826,0.4568492797066913,0.001998001998001998
No Signal,0.75,0.40700756246611747,0.023664886323736867,0.3570526765858441,0.45137196110269806,0.001998001998001998
No Signal,0.8,0.3989233043039755,0.02410023207826923,0.3487057334647276,0.44398985324508083,0.001998001998001998
No Signal,0.8500000000000001,0.39079347966735895,0.024086841317923248,0.34078074261066665,0.43627356944144785,0.001998001998001998
No Signal,0.9,0.3826390647852472,0.02371377184844233,0.33199278739632093,0.4274575167182997,0.001998001998001998
No Signal,0.9500000000000001,0.37448103588662013,0.02309101601637718,0.32634106652810824,0.41929323657934203,0.001998001998001998
No Signal,1,0.3663403692004574,0.02234452997009087,0.320551287247488,0.4095844714379379,0.001998001998001998
No Signal,1.05,0.3582380409557386,0.021610413419934325,0.31263785523678683,0.40080256486217075,0.001998001998001998
No Signal,1.1,0.35019502738144337,0.021024412331765375,0.3071292564582617,0.3913642541425191,0.001998001998001998
No Signal,1.15,0.34223230470655136,0.020704328579174064,0.2981900442312527,0.3821445131814298,0.001998001998001998
No Signal,1.2000000000000002,0.3343708491600421,0.020727496091059155,0.28997042068542916,0.3752897617317624,0.001998001998001998
No Signal,1.25,0.3266316369708957,0.02111218466071054,0.2830118639751928,0.3701149979617617,0.001998001998001998
No Signal,1.3,0.3190356443680912,0.021813605977529325,0.2745286593764432,0.3642306044976062,0.001998001998001998
No Signal,1.35,0.31160384758060866,0.022736988375744824,0.2659961554951975,0.3585789836839122,0.001998001998001998
No Signal,1.4,0.3043572228374277,0.02375939469574252,0.2584100591275408,0.3552009934449987,0.001998001998001998
No Signal,1.4500000000000002,0.29731674636752775,0.02474970717814499,0.2507437160699588,0.349958617022474,0.001998001998001998
No Signal,1.5,0.2905032841039162,0.025582080212540527,0.2434177349017908,0.3439582558666387,0.001998001998001998
No Signal,1.5500000000000003,0.28392768273385305,0.026166198350906396,0.23666094200945903,0.3392812965033011,0.001998001998001998
No Signal,1.6,0.2775829032596769,0.02647394304691797,0.2303445748918283,0.33502243833571604,0.001998001998001998
No Signal,1.65,0.2714600555006545,0.02650355903343676,0.22485139394798176,0.329147682835701,0.001998001998001998
No Signal,1.7000000000000002,0.2655502492760523,0.026270899133189394,0.21878129623497583,0.32520937578359826,0.001998001998001998
No Signal,1.75,0.25984459440513746,0.02580750479344282,0.21412068396375247,0.3180181203396109,0.001998001998001998
No Signal,1.8000000000000003,0.2543342007071764,0.025160954640385844,0.2108133746090699,0.309359952193632,0.001998001998001998
No Signal,1.85,0.24901017800143588,0.02439694100577873,0.20640670489367047,0.3030829487130276,0.001998001998001998
No Signal,1.9,0.24386363610718273,0.02360239762083937,0.20158230081572787,0.2942513050062394,0.001998001998001998
No Signal,1.9500000000000002,0.23888568484368353,0.022888222478518173,0.1966923819305847,0.29027395893492225,0.001998001998001998
No Signal,2,0.23406743403020522,0.02238856193312665,0.19225209749211308,0.28527057140418416,0.001998001998001998
Any Signal,0.4,0.44699477136002136,0.019179115471941906,0.40746714064873274,0.4818897814428993,0.001998001998001998
Any Signal,0.45,0.43499385956859793,0.019391808638382906,0.39480402107135126,0.4711636569002098,0.001998001998001998
Any Signal,0.5,0.42352072503448956,0.020683081462053665,0.3810473270382518,0.4644199082593943,0.001998001998001998
Any Signal,0.55,0.41265344207004095,0.022546391975117423,0.36835514036691364,0.4559899170866648,0.001998001998001998
Any Signal,0.6000000000000001,0.40247008498759723,0.024543450922317318,0.35400389453359515,0.4497756073532591,0.001998001998001998
Any Signal,0.65,0.3930487280995031,0.02635965799940431,0.34083409471348275,0.44251300501532614,0.001998001998001998
Any Signal,0.7000000000000001,0.3844674457181034,0.027780106066573503,0.3298751796942559,0.4376508588203434,0.001998001998001998
Any Signal,0.75,0.37680378389505775,0.028657879554635026,0.32162225225035446,0.4324710897455166,0.001998001998001998
Any Signal,0.8,0.37008351284306745,0.02893679554043525,0.3143659380763249,0.42683978817894175,0.001998001998001998
Any Signal,0.8500000000000001,0.3642377942214152,0.028675060530270143,0.3078784049498902,0.42033031217814976,0.001998001998001998
Any Signal,0.9,0.3591877062987854,0.027963879420562214,0.30302627744320926,0.41460461862764314,0.001998001998001998
Any Signal,0.9500000000000001,0.3548543273438626,0.026913657346965086,0.302410727717661,0.40751029630801,0.001998001998001998
Any Signal,1,0.35115873562533156,0.025652226128446125,0.30019525297685995,0.4003360013636407,0.001998001998001998
Any Signal,1.05,0.34802200941187666,0.024323711234540902,0.2995602745756493,0.3948347591254986,0.001998001998001998
Any Signal,1.1,0.3453652269721826,0.02308466593893963,0.29949561090596605,0.38904452130607176,0.001998001998001998
Any Signal,1.15,0.3431094665749338,0.022092907251335614,0.29918964556675165,0.38586058749463037,0.001998001998001998
Any Signal,1.2000000000000002,0.3411758064888148,0.02148508885000819,0.29794726744463484,0.38320639554775404,0.001998001998001998
Any Signal,1.25,0.3394853249825105,0.021345514757484106,0.2977452132320116,0.3840830704719475,0.001998001998001998
Any Signal,1.3,0.3379591003247049,0.02168024062915634,0.29470214647117354,0.38191889098509163,0.001998001998001998
Any Signal,1.35,0.33651821078408306,0.02241406016107516,0.29124611066804146,0.3803070721485921,0.001998001998001998
Any Signal,1.4,0.33508373462932944,0.02341297790809932,0.2893122263103026,0.3814260640023601,0.001998001998001998
Any Signal,1.4500000000000002,0.33357675012912846,0.024516541536242772,0.2855320091695775,0.38160403491552414,0.001998001998001998
Any Signal,1.5,0.3319186552276062,0.02556380863783415,0.2830049373906499,0.38262458292212415,0.001998001998001998
Any Signal,1.5500000000000003,0.33005988706891115,0.026431253687507077,0.2805279541644725,0.3815438063784042,0.001998001998001998
Any Signal,1.6,0.3280027216276888,0.02706423772814869,0.2777259377691072,0.3813025086574249,0.001998001998001998
Any Signal,1.65,0.32575480024009507,0.027440101156125433,0.2742203735474034,0.3792071052529809,0.001998001998001998
Any Signal,1.7000000000000002,0.323323764242286,0.027556154378882487,0.2726675856650021,0.37614661735858385,0.001998001998001998
Any Signal,1.75,0.3207172549704179,0.027424993487315013,0.26924040635024515,0.3733715965402595,0.001998001998001998
Any Signal,1.8000000000000003,0.31794291376064665,0.027072331306748916,0.26685750111172746,0.3721828622182474,0.001998001998001998
Any Signal,1.85,0.31500838194912845,0.026536612993281982,0.2635378023092418,0.36730255790167987,0.001998001998001998
Any Signal,1.9,0.3119213008720194,0.02586993750402966,0.26069937037290114,0.36277048044841337,0.001998001998001998
Any Signal,1.9500000000000002,0.30868931186547555,0.02513982090015265,0.2596064471787879,0.3598528510761568,0.001998001998001998
Any Signal,2,0.305320056265653,0.02443102886361631,0.2586356338967239,0.35651143929801377,0.001998001998001998
