distance_km,estimate,std_error,conf_low,conf_high,p_value,simultaneous_low,simultaneous_high
0.4,-0.09116702296251103,0.14336009944105282,-0.3729819079968204,0.18071651840136083,0.5194805194805194,-0.4677525194793134,0.2854184735542914
0.45,-0.08066781230252781,0.13273938982253927,-0.33965210118544736,0.17146546875195937,0.5354645354645354,-0.4293542963281086,0.26801867172305294
0.5,-0.068491393960037,0.12059146657594963,-0.3102435951664114,0.1608752198598123,0.5734265734265734,-0.385267104169881,0.248284316249807
0.55,-0.05463776793485728,0.10706676747358092,-0.27375832043872694,0.15209821761774558,0.6193806193806194,-0.33588612048686073,0.2266105846171462
0.6000000000000001,-0.039106934227171264,0.09244452983025508,-0.22768066618558494,0.14214905043385703,0.6933066933066933,-0.28194485985726314,0.2037309914029206
0.65,-0.021898892836752865,0.07728801119239657,-0.17696402556516838,0.1308180534891721,0.7832167832167832,-0.2249229154425166,0.18112512976901088
0.7000000000000001,-0.0030136437638992597,0.06283658125107687,-0.12994654546067763,0.1277897829020751,0.945054945054945,-0.16807592568276145,0.16204863815496293
0.75,0.01741256542097358,0.05193540904269587,-0.08182675290881261,0.12383449795064055,0.7352647352647352,-0.11901397081471599,0.15383910165666315
0.8,0.0368139231202278,0.048813527767196274,-0.05177623876551645,0.1393057600084149,0.4355644355644356,-0.09141189886662762,0.16503974510708322
0.8500000000000001,0.05421732161344538,0.05285277585396825,-0.04443143843918636,0.15759151987219958,0.3156843156843157,-0.08461899975393695,0.19305364298082772
0.9,0.06962276090090647,0.06062050943204447,-0.046853951955044895,0.18530638530808793,0.23976023976023977,-0.0896182324617884,0.22886375426360134
0.9500000000000001,0.08303024098239184,0.06932422906972344,-0.0537300838659208,0.213593885004702,0.22777222777222778,-0.09907411948229161,0.2651346014470753
1,0.09443976185795104,0.07744950254288256,-0.060955875611561856,0.2409331882991174,0.22577422577422576,-0.10900847432357784,0.2978879980394799
1.05,0.10385132352767987,0.08424833774918757,-0.07098390802322492,0.26399876320692667,0.2097902097902098,-0.1174564338308349,0.3251590808861946
1.1,0.11126492599148163,0.08934388666018737,-0.07551752692154085,0.2869349321143625,0.21178821178821178,-0.12342807470988906,0.3459579266928523
1.15,0.11668056924931838,0.09254017077676041,-0.07601127912762408,0.299969952093507,0.2037962037962038,-0.12640859081397682,0.3597697293126136
1.2000000000000002,0.12009825330120419,0.09373719033548711,-0.07077111755435458,0.30394680167952975,0.2057942057942058,-0.12613529775108284,0.3663318043534912
1.25,0.12151797814741767,0.09289395242982265,-0.06626605201977852,0.302989312528558,0.1958041958041958,-0.12250051329885249,0.36553646959368785
1.3,0.12093974378767659,0.09001548500163219,-0.0591098513524325,0.2964786289612515,0.18581418581418582,-0.11551744510733335,0.3573969326826865
1.35,0.11836355022188576,0.08515630502924362,-0.05035719664097601,0.2866870105778217,0.16183816183816183,-0.10532930110848075,0.34205640155225225
1.4,0.11378939745031401,0.07844328498180662,-0.0420862195130087,0.27082612338527834,0.14185814185814186,-0.09226935626469203,0.31984815116532006
1.4500000000000002,0.10721728547273698,0.07013477164208418,-0.030867039030360918,0.2451403609356505,0.13186813186813187,-0.07701624885727282,0.2914508198027468
1.5,0.09873906634447298,0.06085407955735566,-0.015564031319386676,0.21904176393039768,0.1018981018981019,-0.06111548073334035,0.2585936134222863
1.5500000000000003,0.089989367607372,0.05304100398446647,-0.011966761164147762,0.19423205764029075,0.0919080919080919,-0.04934140084995009,0.2293201360646941
1.6,0.08157029920792612,0.047951185326342884,-0.013377220231448564,0.17699874917876524,0.0959040959040959,-0.04439027842207939,0.20753087683793164
1.65,0.07348186114640846,0.04606063276034334,-0.020736758126418325,0.166047337442335,0.1038961038961039,-0.04751251822108263,0.19447624051389956
1.7000000000000002,0.06572405342252019,0.04735141796207649,-0.030511697356055342,0.1582426756835924,0.14185814185814186,-0.05866102522591754,0.19010913207095792
1.75,0.05829687603636065,0.05123090116959313,-0.04274686509999528,0.1598982166192289,0.24975024975024976,-0.07627902359802353,0.19287277567074484
1.8000000000000003,0.05120032898835278,0.05686865989755747,-0.06156840249252186,0.16099781171326977,0.3596403596403596,-0.09818511791957643,0.200585775896282
1.85,0.044434412277838425,0.06353852846304538,-0.07907542334881279,0.16492251325673846,0.46353646353646355,-0.12247177976928397,0.21134060432496082
1.9,0.037999125905116324,0.07072572751429175,-0.1028797229120984,0.17401563380056184,0.5794205794205795,-0.14778676093736026,0.22378501274759294
1.9500000000000002,0.03189446987018346,0.07809463531447677,-0.12042895588680734,0.183929703469389,0.6833166833166833,-0.17324843341925966,0.23703737315962659
2,0.026120444173229534,0.0854306960912587,-0.1369092153990451,0.18706186627404334,0.7492507492507493,-0.19829319135533158,0.25053407970179065
