arm,communities,minimum_km,p05_km,p95_km,maximum_km
control,34,0.11200326236398171,0.1800306504068413,2.1613857076000675,2.277286429460216
calendar,35,0.30727705052643084,0.3603055952494698,2.270799957623069,2.498005541315523
ink,36,0.1711356574730246,0.2683908747052173,2.496906008858427,2.848184495975087
bracelet,39,0.14898479174534313,0.3626274376340109,2.0432616190451425,2.338168366146988
