signal_group,distance_km,estimate,std_error,conf_low,conf_high,p_value
No Signal,0.4,-0.1536084889822932,0.10310172257259287,-0.3621837251127891,0.03623210396615184,0.11988011988011989
No Signal,0.45,-0.15433289761962335,0.09551772096254951,-0.3426661350866076,0.021411287074425488,0.0899100899100899
No Signal,0.5,-0.15517302769226526,0.0868392891094585,-0.3276066054156116,0.006172817419379373,0.06393606393606394
No Signal,0.55,-0.15612887920083976,0.07716994451188795,-0.3087950862384052,-0.012166119737776693,0.03796203796203796
No Signal,0.6000000000000001,-0.15720045214492656,0.06670121619477609,-0.2919111327810403,-0.032746792998006855,0.00999000999000999
No Signal,0.65,-0.15838774652464674,0.055818180622725394,-0.2700847002097343,-0.05191367439858574,0.003996003996003996
No Signal,0.7000000000000001,-0.1596907623405166,0.04536685721943631,-0.2541951709658254,-0.07439149712857224,0.001998001998001998
No Signal,0.75,-0.16108965669261963,0.037306315627872524,-0.23718755736352626,-0.09168890678475239,0.001998001998001998
No Signal,0.8,-0.16221074847119948,0.034678584209087024,-0.2332058621443302,-0.09569257849201797,0.001998001998001998
No Signal,0.8500000000000001,-0.1629123156705872,0.037181303333392486,-0.23117672302657516,-0.0876614145107837,0.001998001998001998
No Signal,0.9,-0.16319435829113696,0.0424269638954778,-0.23635003689245257,-0.06630388446254824,0.001998001998001998
No Signal,0.9500000000000001,-0.16305687633101637,0.04839110549876903,-0.24690124979565475,-0.05319756428564899,0.001998001998001998
No Signal,1,-0.16249986979226935,0.05395605759029067,-0.25860373658422403,-0.040403794716996,0.011988011988011988
No Signal,1.05,-0.16152333867374558,0.05856722725540994,-0.2671259029586756,-0.027746260922022037,0.02197802197802198
No Signal,1.1,-0.16012728297541096,0.06194548360896457,-0.27484116037692674,-0.02165365258628976,0.027972027972027972
No Signal,1.15,-0.15831170269783912,0.06394628158989361,-0.2739458330313014,-0.019459529078948032,0.03196803196803197
No Signal,1.2000000000000002,-0.15607659784017663,0.06449670280148598,-0.2710318339637823,-0.01532504595935359,0.03196803196803197
No Signal,1.25,-0.15342196840347877,0.06356838108480882,-0.26723223678642805,-0.01622574448235238,0.03396603396603397
No Signal,1.3,-0.1503478143862907,0.06116881025948401,-0.26138919186471077,-0.01941903701647883,0.029970029970029972
No Signal,1.35,-0.14685413579068002,0.057346150886435555,-0.25278926859166,-0.021392107379648726,0.025974025974025976
No Signal,1.4,-0.14294093261407478,0.05221174127966041,-0.23966594422301002,-0.029554819500352183,0.01998001998001998
No Signal,1.4500000000000002,-0.13860820485891465,0.04599871966880938,-0.2255089898365733,-0.04035147209541404,0.005994005994005994
No Signal,1.5,-0.13387951435038906,0.03927246474846137,-0.20835146668800608,-0.05053203406253867,0.001998001998001998
No Signal,1.5500000000000003,-0.12917417462550765,0.03397744688784878,-0.19533638459337316,-0.06067520123621087,0.001998001998001998
No Signal,1.6,-0.12464663851480388,0.031182041052948563,-0.18620478556441666,-0.06395219864122231,0.001998001998001998
No Signal,1.65,-0.1202969060190962,0.03120591428685396,-0.18554806340964952,-0.05886811270479729,0.001998001998001998
No Signal,1.7000000000000002,-0.11612497713810414,0.03373019851486456,-0.1912797918695293,-0.05037882166439785,0.001998001998001998
No Signal,1.75,-0.11213085187094382,0.037996439821070954,-0.19519419393169254,-0.04078828982258391,0.005994005994005994
No Signal,1.8000000000000003,-0.10831453021987747,0.04327058605485504,-0.20360987622774585,-0.031971910144360606,0.005994005994005994
No Signal,1.85,-0.10467601218248436,0.049040400357853384,-0.21461494019230365,-0.01515890871000263,0.017982017982017984
No Signal,1.9,-0.10121529776028922,0.05498945516134242,-0.22230255151403444,-0.002487127129111986,0.04995004995004995
No Signal,1.9500000000000002,-0.09793238695237352,0.06092706700571954,-0.23019563353945363,0.010828047739861273,0.06793206793206794
No Signal,2,-0.09482727975963949,0.06673646457660146,-0.2402123087947539,0.024571147988740608,0.11588411588411589
Any Signal,0.4,-0.24477551194480424,0.10872322163290477,-0.45555990531490137,-0.026028046124208802,0.029970029970029972
Any Signal,0.45,-0.23500070992215116,0.1005437538174381,-0.43062990459736455,-0.03433482592834192,0.027972027972027972
Any Signal,0.5,-0.22366442165230227,0.09117972512928156,-0.39934759846122275,-0.0427030738127966,0.017982017982017984
Any Signal,0.55,-0.21076664713569704,0.0807407511804799,-0.36533294059077187,-0.048789655676364396,0.00999000999000999
Any Signal,0.6000000000000001,-0.19630738637209783,0.06943250326007837,-0.32980286575576007,-0.05917929198203768,0.001998001998001998
Any Signal,0.65,-0.1802866393613996,0.05767671144531654,-0.29011972448325907,-0.06569237482797505,0.001998001998001998
