assigned_treatment,assigned_dist_group,existing_estimate,generated_estimate,abs_difference
ink,close,-0.12663705744875375,-0.1266370574487637,9.936496070395151e-15
ink,far,0.04585299079899224,0.04585299079902572,3.348016308635238e-14
ink,far - close,0.172490048247746,0.1724900482477894,4.340972026284362e-14
calendar,close,0.01567285425647724,0.015672854256402857,7.438147320293353e-14
calendar,far,0.00574674006197423,0.005746740062004874,3.06438902031303e-14
calendar,far - close,-0.00992611419450301,-0.009926114194397984,1.0502709812953981e-13
bracelet,close,0.03348121879102062,0.03348121879093163,8.89843754237063e-14
bracelet,far,0.09820406188944986,0.09820406188952668,7.682743330406083e-14
bracelet,far - close,0.06472284309842924,0.06472284309859505,1.6581180872776713e-13
