"scenario_id","scenario","scenario_label","n_pot_estimate","n_pot_low","n_pot_high","takeup_estimate","takeup_low","takeup_high","distance_estimate","distance_low","distance_high","replicates"
0,"experimental","Control",144,144,144,0.326876434650734,0.290597681914706,0.372715286377476,1.1762046829448,1.1762046829448,1.1762046829448,210
1,"control","Control",109,94,126,0.327827020698146,0.327248811264758,0.329481923425518,1.25663195163583,0.92125742360553,1.58737062179042,210
2,"bracelet","Bracelet",81,76,106.55,0.327974720074376,0.327286437430741,0.368064443103771,1.91376762378168,1.29785085996956,2.44296033529904,210
3,"static-control","Control social image returns at 0.5km",97,76,119.775,0.327770429042285,0.32726030047632,0.329260261617965,1.51688521047863,1.02732723080751,2.22901357355207,210
4,"static-bracelet","Bracelet social image returns at 0.5km",88,76,117.55,0.327914341259354,0.32725662511496,0.345103041491361,1.73494721902194,1.07290791884391,2.41741729106041,210
5,"suppress-reputation","No social image returns",144,144,144,0.0821491637132475,0.0170771313035331,0.212572285223674,0.643364579263291,0.643364579263291,0.643364579263291,210
